index,word
0,alderweireld
1,cahill
2,champions
3,claudio
4,diego
5,eden
6,everton
7,eye
8,fabregas
9,foxes
10,guus
11,heung-min
12,kane
13,lamela
14,leicester
15,mahrez
16,mourinho
17,mousa
18,penalty
19,pochettino
20,rashford
21,ref
22,stamford
23,title
24,vardy
25,vertonghen
26,walker
27,willian
